Chinese,English,Pinyin
也许,maybe,yěxǔ
可能,probably,kěnéng
显然,apparently,xiǎnrán
似乎,seemingly,sìhū
肯定,surely,kěndìng
很可能,likely,hěn kěnéng
很有可能,quite possibly,hěn yǒu kěnéng
大概,presumably,dàgài
显而易见,ostensibly,xiǎn'ér yìjiàn
最有可能,most likely,zuì yǒu kěnéng
很有可能地,in all likelihood,hěn yǒu kěnéng de
按照一切迹象,by all accounts,ànzhào yīqiè jīxiàng
可以想象,imaginably,kěyǐ xiǎngxiàng
仿佛,as if,fǎngfú
看起来,it would seem,kàn qǐlái
可疑地,suspiciously,kěyí de
显然,evidently,xiǎnrán
代表性地,representatively,dàibiǎoxìng de
毫无疑问,undoubtedly,háowú yíwèn